block	component	feature	loading
transcriptome	1	FMNL1	0.75742449792661
transcriptome	1	ZNF682	-0.509888751225337
transcriptome	1	FSTL4	-0.36438635687684
transcriptome	1	GATA4	-0.137866707251267
transcriptome	1	LTBP1	0.120569255070296
proteome	1	COL1A2	0.611439951010159
proteome	1	CON__ENSEMBL:ENSBTAP00000024146	0.518716022795224
proteome	1	COL18A1	0.404360603791495
proteome	1	ITGA2	0.386732313844633
proteome	1	LGALS3BP	0.209774863923093
sers	1	SERS_region_1520_1530	-0.760102523313327
sers	1	SERS_region_1620_1630	0.649803165622262
