feature	wavenumber	group	window_start	window_end
SERS_970.0	970	43	970	980
SERS_970.5	970.5	43	970	980
SERS_971.0	971	43	970	980
SERS_971.5	971.5	43	970	980
SERS_972.0	972	43	970	980
SERS_972.5	972.5	43	970	980
SERS_973.0	973	43	970	980
SERS_973.5	973.5	43	970	980
SERS_974.0	974	43	970	980
SERS_974.5	974.5	43	970	980
SERS_975.0	975	43	970	980
SERS_975.5	975.5	43	970	980
SERS_976.0	976	43	970	980
SERS_976.5	976.5	43	970	980
SERS_977.0	977	43	970	980
SERS_977.5	977.5	43	970	980
SERS_978.0	978	43	970	980
SERS_978.5	978.5	43	970	980
SERS_979.0	979	43	970	980
SERS_979.5	979.5	43	970	980
SERS_1050.0	1050	51	1050	1060
SERS_1050.5	1050.5	51	1050	1060
SERS_1051.0	1051	51	1050	1060
SERS_1051.5	1051.5	51	1050	1060
SERS_1052.0	1052	51	1050	1060
SERS_1052.5	1052.5	51	1050	1060
SERS_1053.0	1053	51	1050	1060
SERS_1053.5	1053.5	51	1050	1060
SERS_1054.0	1054	51	1050	1060
SERS_1054.5	1054.5	51	1050	1060
SERS_1055.0	1055	51	1050	1060
SERS_1055.5	1055.5	51	1050	1060
SERS_1056.0	1056	51	1050	1060
SERS_1056.5	1056.5	51	1050	1060
SERS_1057.0	1057	51	1050	1060
SERS_1057.5	1057.5	51	1050	1060
SERS_1058.0	1058	51	1050	1060
SERS_1058.5	1058.5	51	1050	1060
SERS_1059.0	1059	51	1050	1060
SERS_1059.5	1059.5	51	1050	1060
SERS_1520.0	1520	98	1520	1530
SERS_1520.5	1520.5	98	1520	1530
SERS_1521.0	1521	98	1520	1530
SERS_1521.5	1521.5	98	1520	1530
SERS_1522.0	1522	98	1520	1530
SERS_1522.5	1522.5	98	1520	1530
SERS_1523.0	1523	98	1520	1530
SERS_1523.5	1523.5	98	1520	1530
SERS_1524.0	1524	98	1520	1530
SERS_1524.5	1524.5	98	1520	1530
SERS_1525.0	1525	98	1520	1530
SERS_1525.5	1525.5	98	1520	1530
SERS_1526.0	1526	98	1520	1530
SERS_1526.5	1526.5	98	1520	1530
SERS_1527.0	1527	98	1520	1530
SERS_1527.5	1527.5	98	1520	1530
SERS_1528.0	1528	98	1520	1530
SERS_1528.5	1528.5	98	1520	1530
SERS_1529.0	1529	98	1520	1530
SERS_1529.5	1529.5	98	1520	1530
SERS_1600.0	1600	106	1600	1610
SERS_1600.5	1600.5	106	1600	1610
SERS_1601.0	1601	106	1600	1610
SERS_1601.5	1601.5	106	1600	1610
SERS_1602.0	1602	106	1600	1610
SERS_1602.5	1602.5	106	1600	1610
SERS_1603.0	1603	106	1600	1610
SERS_1603.5	1603.5	106	1600	1610
SERS_1604.0	1604	106	1600	1610
SERS_1604.5	1604.5	106	1600	1610
SERS_1605.0	1605	106	1600	1610
SERS_1605.5	1605.5	106	1600	1610
SERS_1606.0	1606	106	1600	1610
SERS_1606.5	1606.5	106	1600	1610
SERS_1607.0	1607	106	1600	1610
SERS_1607.5	1607.5	106	1600	1610
SERS_1608.0	1608	106	1600	1610
SERS_1608.5	1608.5	106	1600	1610
SERS_1609.0	1609	106	1600	1610
SERS_1609.5	1609.5	106	1600	1610
SERS_1620.0	1620	108	1620	1630
SERS_1620.5	1620.5	108	1620	1630
SERS_1621.0	1621	108	1620	1630
SERS_1621.5	1621.5	108	1620	1630
SERS_1622.0	1622	108	1620	1630
SERS_1622.5	1622.5	108	1620	1630
SERS_1623.0	1623	108	1620	1630
SERS_1623.5	1623.5	108	1620	1630
SERS_1624.0	1624	108	1620	1630
SERS_1624.5	1624.5	108	1620	1630
SERS_1625.0	1625	108	1620	1630
SERS_1625.5	1625.5	108	1620	1630
SERS_1626.0	1626	108	1620	1630
SERS_1626.5	1626.5	108	1620	1630
SERS_1627.0	1627	108	1620	1630
SERS_1627.5	1627.5	108	1620	1630
SERS_1628.0	1628	108	1620	1630
SERS_1628.5	1628.5	108	1620	1630
SERS_1629.0	1629	108	1620	1630
SERS_1629.5	1629.5	108	1620	1630
