feature	wavenumber	group	window_start	window_end
SERS_650.0	650	11	650	660
SERS_650.5	650.5	11	650	660
SERS_651.0	651	11	650	660
SERS_651.5	651.5	11	650	660
SERS_652.0	652	11	650	660
SERS_652.5	652.5	11	650	660
SERS_653.0	653	11	650	660
SERS_653.5	653.5	11	650	660
SERS_654.0	654	11	650	660
SERS_654.5	654.5	11	650	660
SERS_655.0	655	11	650	660
SERS_655.5	655.5	11	650	660
SERS_656.0	656	11	650	660
SERS_656.5	656.5	11	650	660
SERS_657.0	657	11	650	660
SERS_657.5	657.5	11	650	660
SERS_658.0	658	11	650	660
SERS_658.5	658.5	11	650	660
SERS_659.0	659	11	650	660
SERS_800.0	800	26	800	810
SERS_800.5	800.5	26	800	810
SERS_801.0	801	26	800	810
SERS_801.5	801.5	26	800	810
SERS_802.0	802	26	800	810
SERS_802.5	802.5	26	800	810
SERS_803.0	803	26	800	810
SERS_803.5	803.5	26	800	810
SERS_804.0	804	26	800	810
SERS_804.5	804.5	26	800	810
SERS_805.0	805	26	800	810
SERS_805.5	805.5	26	800	810
SERS_806.0	806	26	800	810
SERS_806.5	806.5	26	800	810
SERS_807.0	807	26	800	810
SERS_807.5	807.5	26	800	810
SERS_808.0	808	26	800	810
SERS_808.5	808.5	26	800	810
SERS_809.0	809	26	800	810
SERS_809.5	809.5	26	800	810
SERS_960.0	960	42	960	970
SERS_960.5	960.5	42	960	970
SERS_961.0	961	42	960	970
SERS_961.5	961.5	42	960	970
SERS_962.0	962	42	960	970
SERS_962.5	962.5	42	960	970
SERS_963.0	963	42	960	970
SERS_963.5	963.5	42	960	970
SERS_964.0	964	42	960	970
SERS_964.5	964.5	42	960	970
SERS_965.0	965	42	960	970
SERS_965.5	965.5	42	960	970
SERS_966.0	966	42	960	970
SERS_966.5	966.5	42	960	970
SERS_967.0	967	42	960	970
SERS_967.5	967.5	42	960	970
SERS_968.0	968	42	960	970
SERS_968.5	968.5	42	960	970
SERS_969.0	969	42	960	970
SERS_969.5	969.5	42	960	970
SERS_970.0	970	43	970	980
SERS_970.5	970.5	43	970	980
SERS_971.0	971	43	970	980
SERS_971.5	971.5	43	970	980
SERS_972.0	972	43	970	980
SERS_972.5	972.5	43	970	980
SERS_973.0	973	43	970	980
SERS_973.5	973.5	43	970	980
SERS_974.0	974	43	970	980
SERS_974.5	974.5	43	970	980
SERS_975.0	975	43	970	980
SERS_975.5	975.5	43	970	980
SERS_976.0	976	43	970	980
SERS_976.5	976.5	43	970	980
SERS_977.0	977	43	970	980
SERS_977.5	977.5	43	970	980
SERS_978.0	978	43	970	980
SERS_978.5	978.5	43	970	980
SERS_979.0	979	43	970	980
SERS_979.5	979.5	43	970	980
SERS_1020.0	1020	48	1020	1030
SERS_1020.5	1020.5	48	1020	1030
SERS_1021.0	1021	48	1020	1030
SERS_1021.5	1021.5	48	1020	1030
SERS_1022.0	1022	48	1020	1030
SERS_1022.5	1022.5	48	1020	1030
SERS_1023.0	1023	48	1020	1030
SERS_1023.5	1023.5	48	1020	1030
SERS_1024.0	1024	48	1020	1030
SERS_1024.5	1024.5	48	1020	1030
SERS_1025.0	1025	48	1020	1030
SERS_1025.5	1025.5	48	1020	1030
SERS_1026.0	1026	48	1020	1030
SERS_1026.5	1026.5	48	1020	1030
SERS_1027.0	1027	48	1020	1030
SERS_1027.5	1027.5	48	1020	1030
SERS_1028.0	1028	48	1020	1030
SERS_1028.5	1028.5	48	1020	1030
SERS_1029.0	1029	48	1020	1030
SERS_1029.5	1029.5	48	1020	1030
SERS_1510.0	1510	97	1510	1520
SERS_1510.5	1510.5	97	1510	1520
SERS_1511.0	1511	97	1510	1520
SERS_1511.5	1511.5	97	1510	1520
SERS_1512.0	1512	97	1510	1520
SERS_1512.5	1512.5	97	1510	1520
SERS_1513.0	1513	97	1510	1520
SERS_1513.5	1513.5	97	1510	1520
SERS_1514.0	1514	97	1510	1520
SERS_1514.5	1514.5	97	1510	1520
SERS_1515.0	1515	97	1510	1520
SERS_1515.5	1515.5	97	1510	1520
SERS_1516.0	1516	97	1510	1520
SERS_1516.5	1516.5	97	1510	1520
SERS_1517.0	1517	97	1510	1520
SERS_1517.5	1517.5	97	1510	1520
SERS_1518.0	1518	97	1510	1520
SERS_1518.5	1518.5	97	1510	1520
SERS_1519.0	1519	97	1510	1520
SERS_1519.5	1519.5	97	1510	1520
SERS_1540.0	1540	100	1540	1550
SERS_1540.5	1540.5	100	1540	1550
SERS_1541.0	1541	100	1540	1550
SERS_1541.5	1541.5	100	1540	1550
SERS_1542.0	1542	100	1540	1550
SERS_1542.5	1542.5	100	1540	1550
SERS_1543.0	1543	100	1540	1550
SERS_1543.5	1543.5	100	1540	1550
SERS_1544.0	1544	100	1540	1550
SERS_1544.5	1544.5	100	1540	1550
SERS_1545.0	1545	100	1540	1550
SERS_1545.5	1545.5	100	1540	1550
SERS_1546.0	1546	100	1540	1550
SERS_1546.5	1546.5	100	1540	1550
SERS_1547.0	1547	100	1540	1550
SERS_1547.5	1547.5	100	1540	1550
SERS_1548.0	1548	100	1540	1550
