original_feature	cleaned_feature	is_ensembl	gene_symbol	diablo_label
ENSG00000223972	ENSG00000223972	TRUE	NA	ENSG00000223972
ENSG00000227232	ENSG00000227232	TRUE	NA	ENSG00000227232
ENSG00000237683	ENSG00000237683	TRUE	NA	ENSG00000237683
ENSG00000241860	ENSG00000241860	TRUE	NA	ENSG00000241860
ENSG00000228463	ENSG00000228463	TRUE	RPL23AP21	RPL23AP21
ENSG00000237094	ENSG00000237094	TRUE	NA	ENSG00000237094
ENSG00000225630	ENSG00000225630	TRUE	MTND2P28	MTND2P28
ENSG00000237973	ENSG00000237973	TRUE	MTCO1P12	MTCO1P12
ENSG00000248527	ENSG00000248527	TRUE	MTATP6P1	MTATP6P1
ENSG00000229376	ENSG00000229376	TRUE	NA	ENSG00000229376
ENSG00000224956	ENSG00000224956	TRUE	NA	ENSG00000224956
ENSG00000235373	ENSG00000235373	TRUE	NA	ENSG00000235373
ENSG00000240618	ENSG00000240618	TRUE	NA	ENSG00000240618
ENSG00000228327	ENSG00000228327	TRUE	NA	ENSG00000228327
ENSG00000237491	ENSG00000237491	TRUE	LINC01409	LINC01409
ENSG00000230092	ENSG00000230092	TRUE	NA	ENSG00000230092
ENSG00000177757	ENSG00000177757	TRUE	FAM87B	FAM87B
ENSG00000225880	ENSG00000225880	TRUE	NA	ENSG00000225880
ENSG00000228794	ENSG00000228794	TRUE	LINC01128	LINC01128
ENSG00000230699	ENSG00000230699	TRUE	NA	ENSG00000230699
ENSG00000223764	ENSG00000223764	TRUE	LINC02593	LINC02593
ENSG00000187634	ENSG00000187634	TRUE	SAMD11	SAMD11
ENSG00000188976	ENSG00000188976	TRUE	NOC2L	NOC2L
ENSG00000187961	ENSG00000187961	TRUE	KLHL17	KLHL17
ENSG00000187583	ENSG00000187583	TRUE	PLEKHN1	PLEKHN1
ENSG00000187642	ENSG00000187642	TRUE	PERM1	PERM1
ENSG00000272512	ENSG00000272512	TRUE	NA	ENSG00000272512
ENSG00000188290	ENSG00000188290	TRUE	HES4	HES4
ENSG00000224969	ENSG00000224969	TRUE	NA	ENSG00000224969
ENSG00000187608	ENSG00000187608	TRUE	ISG15	ISG15
ENSG00000188157	ENSG00000188157	TRUE	AGRN	AGRN
ENSG00000217801	ENSG00000217801	TRUE	NA	ENSG00000217801
ENSG00000273443	ENSG00000273443	TRUE	NA	ENSG00000273443
ENSG00000237330	ENSG00000237330	TRUE	RNF223	RNF223
ENSG00000131591	ENSG00000131591	TRUE	C1orf159	C1orf159
ENSG00000186891	ENSG00000186891	TRUE	TNFRSF18	TNFRSF18
ENSG00000186827	ENSG00000186827	TRUE	TNFRSF4	TNFRSF4
ENSG00000078808	ENSG00000078808	TRUE	SDF4	SDF4
ENSG00000176022	ENSG00000176022	TRUE	B3GALT6	B3GALT6
ENSG00000184163	ENSG00000184163	TRUE	C1QTNF12	C1QTNF12
ENSG00000260179	ENSG00000260179	TRUE	NA	ENSG00000260179
ENSG00000160087	ENSG00000160087	TRUE	UBE2J2	UBE2J2
ENSG00000230415	ENSG00000230415	TRUE	NA	ENSG00000230415
ENSG00000162572	ENSG00000162572	TRUE	SCNN1D	SCNN1D
ENSG00000131584	ENSG00000131584	TRUE	ACAP3	ACAP3
ENSG00000169972	ENSG00000169972	TRUE	PUSL1	PUSL1
ENSG00000127054	ENSG00000127054	TRUE	INTS11	INTS11
ENSG00000240731	ENSG00000240731	TRUE	NA	ENSG00000240731
ENSG00000224051	ENSG00000224051	TRUE	CPTP	CPTP
ENSG00000169962	ENSG00000169962	TRUE	TAS1R3	TAS1R3
ENSG00000107404	ENSG00000107404	TRUE	DVL1	DVL1
ENSG00000162576	ENSG00000162576	TRUE	MXRA8	MXRA8
ENSG00000175756	ENSG00000175756	TRUE	AURKAIP1	AURKAIP1
ENSG00000221978	ENSG00000221978	TRUE	CCNL2	CCNL2
ENSG00000224870	ENSG00000224870	TRUE	MRPL20-AS1	MRPL20-AS1
ENSG00000242485	ENSG00000242485	TRUE	MRPL20	MRPL20
ENSG00000272455	ENSG00000272455	TRUE	NA	ENSG00000272455
ENSG00000179403	ENSG00000179403	TRUE	VWA1	VWA1
ENSG00000160072	ENSG00000160072	TRUE	ATAD3B	ATAD3B
ENSG00000197785	ENSG00000197785	TRUE	ATAD3A	ATAD3A
ENSG00000205090	ENSG00000205090	TRUE	TMEM240	TMEM240
ENSG00000160075	ENSG00000160075	TRUE	SSU72	SSU72
ENSG00000215014	ENSG00000215014	TRUE	SSU72-AS1	SSU72-AS1
ENSG00000228594	ENSG00000228594	TRUE	FNDC10	FNDC10
ENSG00000272106	ENSG00000272106	TRUE	NA	ENSG00000272106
ENSG00000197530	ENSG00000197530	TRUE	MIB2	MIB2
ENSG00000248333	ENSG00000248333	TRUE	CDK11B	CDK11B
ENSG00000272004	ENSG00000272004	TRUE	NA	ENSG00000272004
ENSG00000189339	ENSG00000189339	TRUE	SLC35E2B	SLC35E2B
ENSG00000269737	ENSG00000269737	TRUE	NA	ENSG00000269737
ENSG00000269227	ENSG00000269227	TRUE	NA	ENSG00000269227
ENSG00000008128	ENSG00000008128	TRUE	CDK11A	CDK11A
ENSG00000268575	ENSG00000268575	TRUE	NA	ENSG00000268575
ENSG00000227775	ENSG00000227775	TRUE	NA	ENSG00000227775
ENSG00000215790	ENSG00000215790	TRUE	NA	ENSG00000215790
ENSG00000008130	ENSG00000008130	TRUE	NADK	NADK
ENSG00000078369	ENSG00000078369	TRUE	GNB1	GNB1
ENSG00000231050	ENSG00000231050	TRUE	GNB1-DT	GNB1-DT
ENSG00000178821	ENSG00000178821	TRUE	TMEM52	TMEM52
ENSG00000067606	ENSG00000067606	TRUE	PRKCZ	PRKCZ
ENSG00000271806	ENSG00000271806	TRUE	NA	ENSG00000271806
ENSG00000182873	ENSG00000182873	TRUE	PRKCZ-AS1	PRKCZ-AS1
ENSG00000162585	ENSG00000162585	TRUE	FAAP20	FAAP20
ENSG00000203301	ENSG00000203301	TRUE	NA	ENSG00000203301
ENSG00000157933	ENSG00000157933	TRUE	SKI	SKI
ENSG00000116151	ENSG00000116151	TRUE	MORN1	MORN1
ENSG00000269896	ENSG00000269896	TRUE	NA	ENSG00000269896
ENSG00000272420	ENSG00000272420	TRUE	NA	ENSG00000272420
ENSG00000271921	ENSG00000271921	TRUE	NA	ENSG00000271921
ENSG00000271847	ENSG00000271847	TRUE	NA	ENSG00000271847
ENSG00000157916	ENSG00000157916	TRUE	RER1	RER1
ENSG00000157911	ENSG00000157911	TRUE	PEX10	PEX10
ENSG00000149527	ENSG00000149527	TRUE	PLCH2	PLCH2
ENSG00000157881	ENSG00000157881	TRUE	PANK4	PANK4
ENSG00000272449	ENSG00000272449	TRUE	NA	ENSG00000272449
ENSG00000157873	ENSG00000157873	TRUE	TNFRSF14	TNFRSF14
ENSG00000228037	ENSG00000228037	TRUE	NA	ENSG00000228037
ENSG00000157870	ENSG00000157870	TRUE	PRXL2B	PRXL2B
ENSG00000142606	ENSG00000142606	TRUE	MMEL1	MMEL1
ENSG00000215912	ENSG00000215912	TRUE	TTC34	TTC34
ENSG00000142611	ENSG00000142611	TRUE	PRDM16	PRDM16
ENSG00000272235	ENSG00000272235	TRUE	NA	ENSG00000272235
ENSG00000130762	ENSG00000130762	TRUE	ARHGEF16	ARHGEF16
ENSG00000162591	ENSG00000162591	TRUE	MEGF6	MEGF6
ENSG00000238260	ENSG00000238260	TRUE	NA	ENSG00000238260
ENSG00000158109	ENSG00000158109	TRUE	TPRG1L	TPRG1L
ENSG00000116213	ENSG00000116213	TRUE	WRAP73	WRAP73
ENSG00000078900	ENSG00000078900	TRUE	TP73	TP73
ENSG00000227372	ENSG00000227372	TRUE	NA	ENSG00000227372
ENSG00000235169	ENSG00000235169	TRUE	SMIM1	SMIM1
ENSG00000130764	ENSG00000130764	TRUE	LRRC47	LRRC47
ENSG00000266075	ENSG00000266075	TRUE	RN7SL574P	RN7SL574P
ENSG00000272153	ENSG00000272153	TRUE	NA	ENSG00000272153
ENSG00000116198	ENSG00000116198	TRUE	CEP104	CEP104
ENSG00000169598	ENSG00000169598	TRUE	DFFB	DFFB
ENSG00000198912	ENSG00000198912	TRUE	C1orf174	C1orf174
ENSG00000236423	ENSG00000236423	TRUE	LINC01134	LINC01134
ENSG00000196581	ENSG00000196581	TRUE	AJAP1	AJAP1
ENSG00000131697	ENSG00000131697	TRUE	NPHP4	NPHP4
ENSG00000069424	ENSG00000069424	TRUE	KCNAB2	KCNAB2
ENSG00000116254	ENSG00000116254	TRUE	CHD5	CHD5
ENSG00000116251	ENSG00000116251	TRUE	RPL22	RPL22
ENSG00000226944	ENSG00000226944	TRUE	NA	ENSG00000226944
ENSG00000158286	ENSG00000158286	TRUE	RNF207	RNF207
ENSG00000116237	ENSG00000116237	TRUE	ICMT	ICMT
ENSG00000225077	ENSG00000225077	TRUE	ICMT-DT	ICMT-DT
ENSG00000158292	ENSG00000158292	TRUE	GPR153	GPR153
ENSG00000097021	ENSG00000097021	TRUE	ACOT7	ACOT7
ENSG00000069812	ENSG00000069812	TRUE	HES2	HES2
ENSG00000187017	ENSG00000187017	TRUE	ESPN	ESPN
ENSG00000215788	ENSG00000215788	TRUE	TNFRSF25	TNFRSF25
ENSG00000171680	ENSG00000171680	TRUE	PLEKHG5	PLEKHG5
ENSG00000162408	ENSG00000162408	TRUE	NOL9	NOL9
ENSG00000253022	ENSG00000253022	TRUE	RNU6-731P	RNU6-731P
ENSG00000229519	ENSG00000229519	TRUE	NA	ENSG00000229519
ENSG00000173662	ENSG00000173662	TRUE	TAS1R1	TAS1R1
ENSG00000204859	ENSG00000204859	TRUE	ZBTB48	ZBTB48
ENSG00000162413	ENSG00000162413	TRUE	KLHL21	KLHL21
ENSG00000116273	ENSG00000116273	TRUE	PHF13	PHF13
ENSG00000041988	ENSG00000041988	TRUE	THAP3	THAP3
ENSG00000007923	ENSG00000007923	TRUE	DNAJC11	DNAJC11
ENSG00000237436	ENSG00000237436	TRUE	NA	ENSG00000237436
ENSG00000171735	ENSG00000171735	TRUE	CAMTA1	CAMTA1
ENSG00000227950	ENSG00000227950	TRUE	RPL37P9	RPL37P9
ENSG00000049245	ENSG00000049245	TRUE	VAMP3	VAMP3
ENSG00000269925	ENSG00000269925	TRUE	NA	ENSG00000269925
ENSG00000049246	ENSG00000049246	TRUE	PER3	PER3
ENSG00000236266	ENSG00000236266	TRUE	NA	ENSG00000236266
ENSG00000049249	ENSG00000049249	TRUE	TNFRSF9	TNFRSF9
ENSG00000116288	ENSG00000116288	TRUE	PARK7	PARK7
