block	component	feature	loading
transcriptome	1	ARPIN	-0.85777478751544
transcriptome	1	FCGR2A	-0.4393045018793
transcriptome	1	ENSG00000256001	0.186056748964321
transcriptome	1	BAMBI	-0.184864102543525
transcriptome	1	TOX	-0.0494177932229581
proteome	1	YARS	0.570210216725775
proteome	1	COL18A1	0.55613291406324
proteome	1	MX1	0.413223784413612
proteome	1	CON__ENSEMBL:ENSBTAP00000024146	0.336240247902829
proteome	1	ARMC9	0.285945956995741
sers	1	SERS_region_1650_1650	0.731404923073321
sers	1	SERS_region_550_1649.5	0.681943427641992
