lower_wavenumber	upper_wavenumber	correlation	joined_into_same_window
550	550.5	0.997924578819054	TRUE
550.5	551	0.998654577903192	TRUE
551	551.5	0.998988227610382	TRUE
551.5	552	0.999066885538781	TRUE
552	552.5	0.999009503624311	TRUE
552.5	553	0.998908798075178	TRUE
553	553.5	0.998830134977067	TRUE
553.5	554	0.998867819403768	TRUE
554	554.5	0.998869078920606	TRUE
554.5	555	0.998875148638129	TRUE
555	555.5	0.998874314692287	TRUE
555.5	556	0.998879322318212	TRUE
556	556.5	0.998905546163085	TRUE
556.5	557	0.998930804029225	TRUE
557	557.5	0.998919789982765	TRUE
557.5	558	0.998852745099358	TRUE
558	558.5	0.998747067592984	TRUE
558.5	559	0.998661344229689	TRUE
559	559.5	0.998672462519151	TRUE
559.5	560	0.998780614752272	TRUE
560	560.5	0.998895186254107	TRUE
560.5	561	0.998929617643656	TRUE
561	561.5	0.998880989375543	TRUE
561.5	562	0.998779594506776	TRUE
562	562.5	0.998632406167389	TRUE
562.5	563	0.998455120872447	TRUE
563	563.5	0.998304154670904	TRUE
563.5	564	0.998233968262226	TRUE
564	564.5	0.998219050416404	TRUE
564.5	565	0.998183369972054	TRUE
565	565.5	0.998100879646767	TRUE
565.5	566	0.998039145739778	TRUE
566	566.5	0.998082999473462	TRUE
566.5	567	0.99821047099834	TRUE
567	567.5	0.998285897844537	TRUE
567.5	568	0.998189895758344	TRUE
568	568.5	0.997926664095687	TRUE
568.5	569	0.997563750744038	TRUE
569	569.5	0.997142998935632	TRUE
569.5	570	0.996718307571562	TRUE
570	570.5	0.996409788960071	TRUE
570.5	571	0.99633061850424	TRUE
571	571.5	0.996464253650128	TRUE
571.5	572	0.996697295096647	TRUE
572	572.5	0.99689955710978	TRUE
572.5	573	0.996999454585316	TRUE
573	573.5	0.997018835167318	TRUE
573.5	574	0.997029678926109	TRUE
574	574.5	0.997005771591781	TRUE
574.5	575	0.996812769387462	TRUE
575	575.5	0.996388500285898	TRUE
575.5	576	0.99579227798568	TRUE
576	576.5	0.995165343246779	TRUE
576.5	577	0.994650772885309	TRUE
577	577.5	0.994405603881759	TRUE
577.5	578	0.994466619439706	TRUE
578	578.5	0.994708819614638	TRUE
578.5	579	0.994993433731165	TRUE
579	579.5	0.995262938887257	TRUE
579.5	580	0.995492721856287	TRUE
580	580.5	0.995706533037607	TRUE
580.5	581	0.996008055167002	TRUE
581	581.5	0.99641053220571	TRUE
