feature	wavenumber	group	window_start	window_end
SERS_550.0	550	1	550	1649.5
SERS_550.5	550.5	1	550	1649.5
SERS_551.0	551	1	550	1649.5
SERS_551.5	551.5	1	550	1649.5
SERS_552.0	552	1	550	1649.5
SERS_552.5	552.5	1	550	1649.5
SERS_553.0	553	1	550	1649.5
SERS_553.5	553.5	1	550	1649.5
SERS_554.0	554	1	550	1649.5
SERS_554.5	554.5	1	550	1649.5
SERS_555.0	555	1	550	1649.5
SERS_555.5	555.5	1	550	1649.5
SERS_556.0	556	1	550	1649.5
SERS_556.5	556.5	1	550	1649.5
SERS_557.0	557	1	550	1649.5
SERS_557.5	557.5	1	550	1649.5
SERS_558.0	558	1	550	1649.5
SERS_558.5	558.5	1	550	1649.5
SERS_559.0	559	1	550	1649.5
SERS_559.5	559.5	1	550	1649.5
SERS_560.0	560	1	550	1649.5
SERS_560.5	560.5	1	550	1649.5
SERS_561.0	561	1	550	1649.5
SERS_561.5	561.5	1	550	1649.5
SERS_562.0	562	1	550	1649.5
SERS_562.5	562.5	1	550	1649.5
SERS_563.0	563	1	550	1649.5
SERS_563.5	563.5	1	550	1649.5
SERS_564.0	564	1	550	1649.5
SERS_564.5	564.5	1	550	1649.5
SERS_565.0	565	1	550	1649.5
SERS_565.5	565.5	1	550	1649.5
SERS_566.0	566	1	550	1649.5
SERS_566.5	566.5	1	550	1649.5
SERS_567.0	567	1	550	1649.5
SERS_567.5	567.5	1	550	1649.5
SERS_568.0	568	1	550	1649.5
SERS_568.5	568.5	1	550	1649.5
SERS_569.0	569	1	550	1649.5
SERS_569.5	569.5	1	550	1649.5
SERS_570.0	570	1	550	1649.5
SERS_570.5	570.5	1	550	1649.5
SERS_571.0	571	1	550	1649.5
SERS_571.5	571.5	1	550	1649.5
SERS_572.0	572	1	550	1649.5
SERS_572.5	572.5	1	550	1649.5
SERS_573.0	573	1	550	1649.5
SERS_573.5	573.5	1	550	1649.5
SERS_574.0	574	1	550	1649.5
SERS_574.5	574.5	1	550	1649.5
SERS_575.0	575	1	550	1649.5
SERS_575.5	575.5	1	550	1649.5
SERS_576.0	576	1	550	1649.5
SERS_576.5	576.5	1	550	1649.5
SERS_577.0	577	1	550	1649.5
SERS_577.5	577.5	1	550	1649.5
SERS_578.0	578	1	550	1649.5
SERS_578.5	578.5	1	550	1649.5
SERS_579.0	579	1	550	1649.5
SERS_579.5	579.5	1	550	1649.5
SERS_580.0	580	1	550	1649.5
SERS_580.5	580.5	1	550	1649.5
SERS_581.0	581	1	550	1649.5
SERS_581.5	581.5	1	550	1649.5
SERS_582.0	582	1	550	1649.5
SERS_582.5	582.5	1	550	1649.5
SERS_583.0	583	1	550	1649.5
SERS_583.5	583.5	1	550	1649.5
SERS_584.0	584	1	550	1649.5
SERS_584.5	584.5	1	550	1649.5
SERS_585.0	585	1	550	1649.5
SERS_585.5	585.5	1	550	1649.5
SERS_586.0	586	1	550	1649.5
SERS_586.5	586.5	1	550	1649.5
SERS_587.0	587	1	550	1649.5
SERS_587.5	587.5	1	550	1649.5
SERS_588.0	588	1	550	1649.5
SERS_588.5	588.5	1	550	1649.5
SERS_589.0	589	1	550	1649.5
SERS_589.5	589.5	1	550	1649.5
SERS_590.0	590	1	550	1649.5
SERS_590.5	590.5	1	550	1649.5
SERS_591.0	591	1	550	1649.5
SERS_591.5	591.5	1	550	1649.5
SERS_592.0	592	1	550	1649.5
SERS_592.5	592.5	1	550	1649.5
SERS_593.0	593	1	550	1649.5
SERS_593.5	593.5	1	550	1649.5
SERS_594.0	594	1	550	1649.5
SERS_594.5	594.5	1	550	1649.5
SERS_595.0	595	1	550	1649.5
SERS_595.5	595.5	1	550	1649.5
SERS_596.0	596	1	550	1649.5
SERS_596.5	596.5	1	550	1649.5
SERS_597.0	597	1	550	1649.5
SERS_597.5	597.5	1	550	1649.5
SERS_598.0	598	1	550	1649.5
SERS_598.5	598.5	1	550	1649.5
SERS_599.0	599	1	550	1649.5
SERS_599.5	599.5	1	550	1649.5
SERS_600.0	600	1	550	1649.5
SERS_600.5	600.5	1	550	1649.5
SERS_601.0	601	1	550	1649.5
SERS_601.5	601.5	1	550	1649.5
SERS_602.0	602	1	550	1649.5
SERS_602.5	602.5	1	550	1649.5
SERS_603.0	603	1	550	1649.5
SERS_603.5	603.5	1	550	1649.5
SERS_604.0	604	1	550	1649.5
SERS_604.5	604.5	1	550	1649.5
SERS_605.0	605	1	550	1649.5
SERS_605.5	605.5	1	550	1649.5
SERS_606.0	606	1	550	1649.5
SERS_606.5	606.5	1	550	1649.5
SERS_607.0	607	1	550	1649.5
SERS_607.5	607.5	1	550	1649.5
SERS_608.0	608	1	550	1649.5
SERS_608.5	608.5	1	550	1649.5
SERS_609.0	609	1	550	1649.5
SERS_609.5	609.5	1	550	1649.5
SERS_610.0	610	1	550	1649.5
SERS_610.5	610.5	1	550	1649.5
SERS_611.0	611	1	550	1649.5
SERS_611.5	611.5	1	550	1649.5
SERS_612.0	612	1	550	1649.5
SERS_612.5	612.5	1	550	1649.5
SERS_613.0	613	1	550	1649.5
SERS_613.5	613.5	1	550	1649.5
SERS_614.0	614	1	550	1649.5
SERS_614.5	614.5	1	550	1649.5
SERS_615.0	615	1	550	1649.5
SERS_615.5	615.5	1	550	1649.5
SERS_616.0	616	1	550	1649.5
SERS_616.5	616.5	1	550	1649.5
SERS_617.0	617	1	550	1649.5
SERS_617.5	617.5	1	550	1649.5
SERS_618.0	618	1	550	1649.5
SERS_618.5	618.5	1	550	1649.5
SERS_619.0	619	1	550	1649.5
SERS_619.5	619.5	1	550	1649.5
SERS_620.0	620	1	550	1649.5
SERS_620.5	620.5	1	550	1649.5
SERS_621.0	621	1	550	1649.5
SERS_621.5	621.5	1	550	1649.5
SERS_622.0	622	1	550	1649.5
SERS_622.5	622.5	1	550	1649.5
SERS_623.0	623	1	550	1649.5
SERS_623.5	623.5	1	550	1649.5
SERS_624.0	624	1	550	1649.5
SERS_624.5	624.5	1	550	1649.5
SERS_625.0	625	1	550	1649.5
SERS_625.5	625.5	1	550	1649.5
SERS_626.0	626	1	550	1649.5
SERS_626.5	626.5	1	550	1649.5
SERS_627.0	627	1	550	1649.5
SERS_627.5	627.5	1	550	1649.5
SERS_628.0	628	1	550	1649.5
SERS_628.5	628.5	1	550	1649.5
SERS_629.0	629	1	550	1649.5
SERS_629.5	629.5	1	550	1649.5
SERS_630.0	630	1	550	1649.5
SERS_630.5	630.5	1	550	1649.5
SERS_631.0	631	1	550	1649.5
SERS_631.5	631.5	1	550	1649.5
SERS_632.0	632	1	550	1649.5
SERS_632.5	632.5	1	550	1649.5
SERS_633.0	633	1	550	1649.5
SERS_633.5	633.5	1	550	1649.5
SERS_634.0	634	1	550	1649.5
SERS_634.5	634.5	1	550	1649.5
SERS_635.0	635	1	550	1649.5
SERS_635.5	635.5	1	550	1649.5
SERS_636.0	636	1	550	1649.5
SERS_636.5	636.5	1	550	1649.5
SERS_637.0	637	1	550	1649.5
SERS_637.5	637.5	1	550	1649.5
SERS_638.0	638	1	550	1649.5
SERS_638.5	638.5	1	550	1649.5
SERS_639.0	639	1	550	1649.5
SERS_639.5	639.5	1	550	1649.5
SERS_640.0	640	1	550	1649.5
SERS_640.5	640.5	1	550	1649.5
SERS_641.0	641	1	550	1649.5
SERS_641.5	641.5	1	550	1649.5
SERS_642.0	642	1	550	1649.5
SERS_642.5	642.5	1	550	1649.5
SERS_643.0	643	1	550	1649.5
SERS_643.5	643.5	1	550	1649.5
SERS_644.0	644	1	550	1649.5
SERS_644.5	644.5	1	550	1649.5
SERS_645.0	645	1	550	1649.5
SERS_645.5	645.5	1	550	1649.5
SERS_646.0	646	1	550	1649.5
SERS_646.5	646.5	1	550	1649.5
SERS_647.0	647	1	550	1649.5
SERS_647.5	647.5	1	550	1649.5
SERS_648.0	648	1	550	1649.5
SERS_648.5	648.5	1	550	1649.5
SERS_649.0	649	1	550	1649.5
SERS_649.5	649.5	1	550	1649.5
SERS_650.0	650	1	550	1649.5
SERS_650.5	650.5	1	550	1649.5
SERS_651.0	651	1	550	1649.5
SERS_651.5	651.5	1	550	1649.5
SERS_652.0	652	1	550	1649.5
SERS_652.5	652.5	1	550	1649.5
SERS_653.0	653	1	550	1649.5
SERS_653.5	653.5	1	550	1649.5
SERS_654.0	654	1	550	1649.5
SERS_654.5	654.5	1	550	1649.5
SERS_655.0	655	1	550	1649.5
SERS_655.5	655.5	1	550	1649.5
SERS_656.0	656	1	550	1649.5
SERS_656.5	656.5	1	550	1649.5
SERS_657.0	657	1	550	1649.5
SERS_657.5	657.5	1	550	1649.5
SERS_658.0	658	1	550	1649.5
SERS_658.5	658.5	1	550	1649.5
SERS_659.0	659	1	550	1649.5
SERS_659.5	659.5	1	550	1649.5
SERS_660.0	660	1	550	1649.5
SERS_660.5	660.5	1	550	1649.5
SERS_661.0	661	1	550	1649.5
SERS_661.5	661.5	1	550	1649.5
SERS_662.0	662	1	550	1649.5
SERS_662.5	662.5	1	550	1649.5
SERS_663.0	663	1	550	1649.5
SERS_663.5	663.5	1	550	1649.5
SERS_664.0	664	1	550	1649.5
SERS_664.5	664.5	1	550	1649.5
SERS_665.0	665	1	550	1649.5
SERS_665.5	665.5	1	550	1649.5
SERS_666.0	666	1	550	1649.5
SERS_666.5	666.5	1	550	1649.5
SERS_667.0	667	1	550	1649.5
SERS_667.5	667.5	1	550	1649.5
SERS_668.0	668	1	550	1649.5
SERS_668.5	668.5	1	550	1649.5
SERS_669.0	669	1	550	1649.5
SERS_669.5	669.5	1	550	1649.5
SERS_670.0	670	1	550	1649.5
SERS_670.5	670.5	1	550	1649.5
SERS_671.0	671	1	550	1649.5
SERS_671.5	671.5	1	550	1649.5
SERS_672.0	672	1	550	1649.5
SERS_672.5	672.5	1	550	1649.5
SERS_673.0	673	1	550	1649.5
SERS_673.5	673.5	1	550	1649.5
SERS_674.0	674	1	550	1649.5
SERS_674.5	674.5	1	550	1649.5
SERS_675.0	675	1	550	1649.5
SERS_675.5	675.5	1	550	1649.5
SERS_676.0	676	1	550	1649.5
SERS_676.5	676.5	1	550	1649.5
SERS_677.0	677	1	550	1649.5
SERS_677.5	677.5	1	550	1649.5
SERS_678.0	678	1	550	1649.5
SERS_678.5	678.5	1	550	1649.5
SERS_679.0	679	1	550	1649.5
SERS_679.5	679.5	1	550	1649.5
