LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
Q00341;A0A024R4E5;H0Y394	25.5288315596939	25.5400821474755	25.590465526451	25.8169965093125	25.5588835706892	25.8258042878256	25.7137412091596	25.8972836029623	25.7334514959022	25.5538840043975	25.5545574699914	25.3851519934561	25.6845579465596	25.5412644421869	25.585689001795	25.3046947270831	25.4599523506544	25.7597177504485
A0A024RA52;P25787;A0A7I2YQP7;C9JCK5;A0A7I2V2H3	24.8397570065283	24.7687044832474	24.6136923589439	24.5694106296483	24.6135799601249	24.6754604802607	24.5581829214994	24.7011287542011	24.5332650858051	25.2475694554458	24.9643747144074	25.1615025128094	24.8850200706904	24.9896252524989	24.9840714120992	25.0638575022734	24.9956753843504	24.8138203262939
Q16881;A0A087WSY9;A0A087WSW9;F8W809;A0A182DWI3;E9PIR7;E2QRB9	25.5177027838218	25.6015024049931	25.4912439198414	25.7072512710632	25.5699031109674	25.6288419840042	25.6920822839693	25.7129807435329	25.6790096796316	25.842445109861	25.8955974693262	25.9437125953656	25.982701362214	25.985917832613	26.0856372947789	25.9103590964983	25.7599208861358	25.9542692735684
A0A087WT44;P30519;I3L159;I3L1F5;I3L276;I3L4P8;A0A1B0GXH0;I3L463	24.1105221793941	23.7303449162331	23.6830322904897	23.7351056072016	23.7921341493822	23.989798465975	23.8826900610737	24.1102035454044	24.0805839959689	23.5421505278167	23.5918354988963	23.5336215561873	23.8911532762365	23.6889119049594	23.884088518362	23.9206167240181	23.9626990590076	23.9888455343974
A0A087WTA8;P08123	24.2035170827962	24.5228889431519	24.154604907226	24.3770304365025	24.3772952726742	24.6202524961595	24.5516270679421	24.4590768529868	24.6492175774975	24.770721956714	24.9197533381386	24.8039048574288	24.9280025122769	25.0745537435706	25.0734100441578	24.9593418981813	25.1346522375475	25.0141008588206
A0A087WTP3;M0R0C6;Q92945	25.7818429351081	25.944204281002	25.9086423788098	26.1349067829914	26.1872958859938	26.188805534058	26.2303551676161	26.1936446172424	26.1221834295337	25.830018802132	25.8915936770301	25.9445617653336	26.0364922530251	26.0023872068575	25.9818090430551	26.1359245158911	26.015717896171	26.0979626655776
A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926	23.907198755605	23.8676882227368	23.3371525612922	24.5396089581667	23.74570878663	24.4507959351173	24.6606862360906	24.0589542256766	24.3438758916069	23.9049043198008	24.0760228832504	23.8042988480207	23.9088484928241	23.8622113008317	24.0293478952471	24.0448523334443	24.0216598116581	24.3152728617982
A0A087WUK2;O14979	27.720123784253	27.9083904216849	27.7901091221035	27.7581170566151	27.8836108645615	27.8764855648787	27.7325331626388	27.7535975908571	27.7402110372422	27.662004740363	27.693784485052	27.6484908929436	27.6143525252165	27.6749219602691	27.6802981358249	27.4297396395655	27.4218177799513	27.6894585596492
A0A087WUT6;O60841	24.436697310937	24.5008773685535	24.2894724078767	24.3215483072093	24.3005463942575	24.0847253573856	24.4799435390686	24.206575616824	24.1059749878539	24.1464704794849	24.1681377212214	24.1784326524783	24.125734437854	24.2449595541576	24.0969981897484	24.2316922938932	24.3951910261761	24.1669126974968
A0A087WVQ6;Q00610	27.7871223036132	27.6413416771771	27.7089225269585	27.6672261283166	27.6681057998117	27.6674968536018	27.5591754074538	27.5353432557881	27.6718890341169	27.8238381511497	27.8923235191168	27.8737898141601	27.9267704008214	27.8482243452367	27.8528144579098	27.9074738428479	27.7834425139948	27.8503721898695
A0A7I2V659;A0A087WVQ9;P68104;A0A7I2V5N4;Q5VTE0;A0A7I2V3H3;A0A087WV01	30.3694246534023	30.3869985420265	30.2992017287223	30.2222786380416	30.2087397121483	30.2015134009876	30.3087790997127	30.2370603614349	30.1384608289203	30.3907952451327	30.369840625449	30.3501591165488	30.30290961733	30.243657370121	30.0915660102975	30.0953440197214	30.0824582165289	29.9482375940114
A0A087WW40;Q9Y371	23.5158095421279	23.9903179816597	24.0354857800762	24.0761044582718	23.9296737883608	23.8187038697861	23.7490895044099	23.7815678287903	23.8798890731872	23.5226495314287	23.7163866026212	23.8328699312789	23.8838089353294	24.0366599302732	23.7303449162331	23.9168868296634	23.6852800630154	23.8467069952486
A0A087WWU8	27.8767782779767	27.9797829539322	27.952215219676	28.3572041046919	28.1029955959317	28.2535868298339	28.2386327315795	28.2396800270929	28.2671822341402	27.6879914572347	27.7463112367787	27.6792245022566	27.7174460181806	27.8734964940329	27.5942725445269	27.8769538773327	27.8684420311484	28.0617272424609
O95299;A0A7I2V2X3;E7ESZ7;A0A7I2V4N8;A0A7I2V2N6;H7C2X4;A0A087WXC5;H7C1Y7;A0A7I2V5B2;A0A7I2V5U7;A0A7I2V594;A0A7I2V419;A0A7I2V458;A0A7I2V2W9;A0A7I2YQU0;A0A7I2V327;A0A7I2V438;A0A7I2V5L0;A0A7I2V3H5;C9J6X0;A0A7I2V2F6;A0A7I2V3D4;A0A7I2V2I6;Q8N1B9	23.9788451972157	23.5649997796798	24.1038160423988	23.4886109845879	23.6610125761578	23.2582497196114	23.9664885536733	23.3694620957983	23.6190772300449	24.3523877900178	24.1699733086493	24.0685801813659	23.7915381175452	23.9885855346897	24.1596945999488	24.0543241040859	23.6041070594108	24.3287554482674
A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621;J3QLC8;A0A0A0MRF8;J3KRB3;A0A087WWH0;J3QS96	27.8601165532067	27.7229268435248	27.6634984947745	27.5102809003723	27.7056308055321	27.3230269893738	27.8768953465888	28.0605939391498	27.8562029514357	27.5581537203975	27.46185784731	27.5037003207108	27.650752009806	27.7016708001887	27.667699864232	28.0451023889161	27.9109651820042	28.0652759299826
A0A087WY71;E9PFW3;Q96CW1;C9JJ47	23.6750835373742	23.8736138292402	23.22382025158	23.6949801437942	23.7901464182316	23.6408592050475	23.9322897365678	23.8789542007848	23.9573061307378	23.9314783980662	24.0761860286809	23.9611097987039	24.0109466804428	24.2094045775093	24.303684887523	24.2960709661803	24.4112518421911	24.0076145237636
A0A087WYD6;X5CMH5;Q03519;A0A0G2JLV0;E7ENX8	22.4028861135705	22.079200896148	21.923285406974	22.2434494563501	22.2257040499995	22.6189652499897	22.4752871500614	22.4764495667346	22.596733911495	22.3803373994892	22.1677856334264	21.8090772579957	22.0358381254834	22.2018582885495	22.2485541907163	22.0926177942247	22.2957767802012	22.3523743187841
Q15185;A0A087WYT3	25.9412740416078	25.9934095571495	26.0004113238594	26.2499577243877	26.3156011023684	25.9854618778808	26.5760017217304	26.4883198421524	26.7449649905587	25.9281154973454	26.2889622206743	26.3267856411939	26.0795467954325	26.2245895211127	26.1130289658643	26.0668366438852	25.975328637916	26.0131212444663
A0A087WZ13;E9PAU2;Q8IY67	23.8977221366506	23.8170453190915	23.5632549356362	23.6872039417074	23.2647060256318	23.6365511656613	23.5210923860634	23.2992191999461	23.1889111502859	23.5305292160863	23.6550179143201	23.4745694467266	23.4547541210548	23.7255684636276	23.2592559335002	24.0167382498701	23.5430950863517	23.8447930986547
A0A087WZN1;O43837;A0A087X2E5	24.8818969998035	24.2201486132429	24.8370638852326	24.7614688559508	24.2819950943298	24.5246832658088	24.9510481030278	24.9207984236457	25.2916167388106	23.7329341969469	23.9861566085466	24.2577463493739	24.4644465369108	24.2827728465822	24.3603809529031	24.456509834986	24.2632737858231	24.0739820071979
A0A087X054;A0A494C039;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2	26.0859816544991	25.9336859730775	26.0294110886581	25.8255374387913	25.7978336682845	25.738691611045	25.8119112546235	25.7622802419841	25.9843322265337	26.5597151498881	26.5313177976418	26.4759303048175	26.606396401511	26.650752009806	26.6691201393325	26.5357881887264	26.4588109717511	26.4787098863867
A0A0G2JNH2;A0A7I2V5U5;G5E9E7;A0A087X0K9;G3V1L9;Q07157	23.6142542217235	24.1087688209361	23.5901228299751	23.3400087107858	23.5796888287057	23.5066388167757	23.2465550547927	23.5096619414746	23.4643842134323	23.4022355769491	23.4487182574644	23.4720918657624	23.5245637137026	23.426112186025	23.3450272573322	23.8000577998968	23.6570916148532	23.6951926016461
A0A087X1G7;O60613;A0A3B3IT39	23.3593088153408	23.2496105854291	23.6193011640835	23.1934152686051	23.3733176163334	23.3631915290375	23.6346692689283	23.3436726140017	23.9025142293431	23.3804695204693	23.6537066712934	23.2668517228806	23.5301719807147	23.3795444194175	23.5649997796798	23.6421821717068	23.7289966514765	23.4379674008516
A0A087X1Z3;Q9UL46;H0YM70	25.6737634611498	25.3010001542693	25.1987672497279	25.2992890827256	25.0011848177789	25.0012707359542	24.5685411346499	24.3978693985035	24.6966789312038	25.8071029208974	25.8495492273278	25.5672939439175	25.7399536199803	25.6473246906645	25.6933857118313	25.4789875502286	25.5214818299964	25.5307673238672
A0A087X2I1;P62333;H0YJC0	24.9997664286536	24.8575679878804	24.7546045565888	24.9521596640974	24.9793250558734	25.0457689916961	24.8582322339727	24.9567745881929	24.7895495644517	25.0948257587808	25.0179702152042	25.0485986223344	25.2640616936673	25.248981183089	25.2459388205167	25.1260890584396	25.1555702435223	25.2229142697206
A0A0A0MRA5;B7Z4B8;Q9BUJ2;M0R3F1;M0QYZ0	25.578307267632	25.6859750929731	25.6082873134426	25.452650723458	25.5096921407533	25.4965258947818	25.8009218148167	25.6241073577021	25.5808678653515	25.4390460988411	25.3805355764223	25.630426004376	25.5165310700453	25.5505413088112	25.6339767775114	25.6512174968839	25.3566921371862	25.2312161992151
A0A0A0MRI2;Q9UNH7;G3V5X9	23.5017886019506	23.9594303446787	23.9648153530721	23.6025221776936	23.9865906453864	23.6805664194223	24.0399257474146	24.147014203899	24.1355527351802	23.8032151148834	23.8372082871052	23.6449344619095	23.9083904216849	24.0561448530024	24.0696457781606	23.8009464933555	23.885113192849	23.6733591145891
A0A0A0MRJ6;P22061;F6S8N6;A0A3F2YNX8	24.6830322904897	24.7096719891902	24.6594890238874	24.7866114364653	24.8441705351845	24.6149843163546	24.8670283171295	24.8458460559685	24.9054094088573	24.7794652852446	24.6032016259201	24.7196800106128	24.8962444385088	24.6852800630154	24.7368610249249	24.9237025097561	24.9303056585593	24.7591843831459
A0A0A0MS51;A0A0A0MT01;P06396	24.9474407511873	24.9744317455713	24.9404677413808	25.1025351411075	24.9623460413167	25.187446921907	25.0662002407718	25.043601405558	25.2058675090412	25.299254141759	25.4525250504214	25.3968900829047	25.3905410755858	25.3142012412367	25.2876419337358	25.5341857875537	25.4488442625338	25.2430353553906
A0A1W2PNM1;A0A0A0MSE2;A0A0D9SFP2;E9PF18;Q16836;A0A1W2PQV5;A0A804HKJ2;A0A1W2PQC2;A0A1W2PQ78;A0A1W2PRT2;A0A804HLB5;A0A804HJW7	25.0973599437481	25.0054744707992	25.073287451142	24.5671488517407	24.6830858496025	24.7803166839361	24.4647581139245	24.7468878151015	24.6236051334192	24.9381807738622	24.9478420137753	25.1428144417845	25.0682111374834	25.000110408637	25.0820063915103	24.9170689996291	24.8760522404729	24.7007055523673
Q13418;A0A0A0MTH3	23.9500247098922	23.7354155420463	23.8741769054358	23.7626350799292	24.0842387549725	24.0512567438434	24.1128301736078	24.2586091622823	23.9894520182238	23.6301204516345	23.5871493789769	23.7526664783268	23.9126905591185	24.0844009740136	24.0149521570343	23.9139689774927	24.0813156888289	23.9400196020174
A0A0A0MTI5;B8ZWD1;P07108	26.2045621894637	26.4213844249269	26.5141396254216	27.2130813711239	27.1189206425247	27.0180763698741	26.7801915097535	26.8808700376524	26.7156798931338	26.944695799124	27.0888144366957	27.0403020971904	26.8870441225057	26.7323390737521	26.7562091501776	26.7210370062654	26.7674926435785	26.7377637168235
Q6PIU2;A0A0A0MTJ9;H7C046	23.689231923085	23.6297870475486	23.517252237289	23.7851650755267	23.7040876961367	23.5174925462828	23.9003044720038	24.035317966299	24.0541584674565	23.2896834670594	23.152625880164	23.0606702074914	23.2678519571886	22.8538425473763	23.2841858682827	23.381658065126	23.2872896530608	23.4444275237742
