LFQ.intensity.1G_A_01	LFQ.intensity.1G_A_02	LFQ.intensity.1G_A_03	LFQ.intensity.1G_B_01	LFQ.intensity.1G_B_02	LFQ.intensity.1G_B_03	LFQ.intensity.1G_C_01	LFQ.intensity.1G_C_02	LFQ.intensity.1G_C_03	LFQ.intensity.DLN_A_01	LFQ.intensity.DLN_A_02	LFQ.intensity.DLN_A_03	LFQ.intensity.DLN_B_01	LFQ.intensity.DLN_B_02	LFQ.intensity.DLN_B_03	LFQ.intensity.DLN_C_01	LFQ.intensity.DLN_C_02	LFQ.intensity.DLN_C_03
Q00341;A0A024R4E5;H0Y394	25.5288315596939	25.5400821474755	25.590465526451	25.8169965093125	25.5588835706892	25.8258042878256	25.7137412091596	25.8972836029623	25.7334514959022	25.5538840043975	25.5545574699914	25.3851519934561	25.6845579465596	25.5412644421869	25.585689001795	25.3046947270831	25.4599523506544	25.7597177504485
A0A024R571;Q9H4M9;C9JC03	23.371324668039	23.5330273899415	23.5210923860634	23.1945879470064	22.9658371167651	23.2422576868435	23.3015933174845	23.4753118920852	23.4032762947874	22.9712509427338	23.3118824352119	23.143436685847	23.0493300941045	23.1234744456635	23.3465158973451	22.8803189111486	23.1225726377195	22.8715661339214
A0A024RA52;P25787;A0A7I2YQP7;C9JCK5;A0A7I2V2H3	24.8397570065283	24.7687044832474	24.6136923589439	24.5694106296483	24.6135799601249	24.6754604802607	24.5581829214994	24.7011287542011	24.5332650858051	25.2475694554458	24.9643747144074	25.1615025128094	24.8850200706904	24.9896252524989	24.9840714120992	25.0638575022734	24.9956753843504	24.8138203262939
P46379;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A7P0MQS5;A0A0G2JL47	23.0946808136713	22.6807810103852	23.3852178353675	23.3249847697957	23.0814619828802	23.1354901100536	23.3971512987376	23.1947532480648	23.1456000939648	23.0069562920229	22.8346647003774	22.9860176891747	23.2679947912109	23.163661344999	23.590465526451	23.143484111816	23.0530979424714	23.5631385376337
A0A075B6F9;Q9Y314;M0R3B2	23.7085147611813	23.5655809257263	23.2981006148613	23.4234216656538	23.6185172428311	23.374078248264	23.1720966154261	23.3348301665187	23.0982840142906	23.1476819277705	23.5127992855567	22.9834278681594	22.9207075766924	22.955710915222	22.9572529852952	22.9020725485649	23.3611845335259	22.8679897933669
Q16881;A0A087WSY9;A0A087WSW9;F8W809;A0A182DWI3;E9PIR7;E2QRB9	25.5177027838218	25.6015024049931	25.4912439198414	25.7072512710632	25.5699031109674	25.6288419840042	25.6920822839693	25.7129807435329	25.6790096796316	25.842445109861	25.8955974693262	25.9437125953656	25.982701362214	25.985917832613	26.0856372947789	25.9103590964983	25.7599208861358	25.9542692735684
A0A087WT44;P30519;I3L159;I3L1F5;I3L276;I3L4P8;A0A1B0GXH0;I3L463	24.1105221793941	23.7303449162331	23.6830322904897	23.7351056072016	23.7921341493822	23.989798465975	23.8826900610737	24.1102035454044	24.0805839959689	23.5421505278167	23.5918354988963	23.5336215561873	23.8911532762365	23.6889119049594	23.884088518362	23.9206167240181	23.9626990590076	23.9888455343974
A0A087WTA8;P08123	24.2035170827962	24.5228889431519	24.154604907226	24.3770304365025	24.3772952726742	24.6202524961595	24.5516270679421	24.4590768529868	24.6492175774975	24.770721956714	24.9197533381386	24.8039048574288	24.9280025122769	25.0745537435706	25.0734100441578	24.9593418981813	25.1346522375475	25.0141008588206
A0A087WTP3;M0R0C6;Q92945	25.7818429351081	25.944204281002	25.9086423788098	26.1349067829914	26.1872958859938	26.188805534058	26.2303551676161	26.1936446172424	26.1221834295337	25.830018802132	25.8915936770301	25.9445617653336	26.0364922530251	26.0023872068575	25.9818090430551	26.1359245158911	26.015717896171	26.0979626655776
A0A087WTV6;J3KR12;Q96C36	23.3899743315907	23.2272769023938	23.177794217844	23.5224100799691	23.8156780206834	23.4425304886016	23.5434491364269	23.1514340626316	23.756132781414	23.4226544515071	23.5369443725895	23.0548374568185	23.218567965958	23.3956735133281	23.5806091349586	23.4134174350599	23.4461958422036	23.4307128650476
A0A087WTZ5;E9PRQ7;Q04323;E9PJ81	23.2247771753588	23.2912356905366	23.244320859518	23.0647210591239	23.1121302068752	23.0725762061472	23.2792752733525	23.2494995061415	23.2086113820422	23.2451627158966	23.3806016293509	23.1607103873203	23.5020315003502	23.7952097305262	23.458138229822	23.4488442625338	23.2853152900379	23.3879723600141
A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926	23.907198755605	23.8676882227368	23.3371525612922	24.5396089581667	23.74570878663	24.4507959351173	24.6606862360906	24.0589542256766	24.3438758916069	23.9049043198008	24.0760228832504	23.8042988480207	23.9088484928241	23.8622113008317	24.0293478952471	24.0448523334443	24.0216598116581	24.3152728617982
A0A087WU65;A0A2R8YE10;Q9NRW7;A0A2R8YF01;A0A1B0GXI6;A0A2R8YD95;B7Z7G7	21.2340338566566	21.5037791626365	21.5565325136044	21.662805926685	21.7069984401999	21.7234659706449	21.7460754168195	21.7327183129795	21.7586152405953	21.6138614538208	21.588545783347	21.5862462543966	21.6328098573799	21.6545386059517	21.660457744756	21.6144115040972	21.5271677061541	21.6085520863314
A0A087WUB9;Q8WYA6	22.7435122003003	23.0281171784437	23.1244413046146	22.9594657217594	22.7607483684339	22.9271797141841	22.9699696313941	23.1932498141638	23.5952547492903	22.9117393941409	23.0969499490274	22.810862638339	23.0092388435569	22.9831320895334	23.0042575055805	22.6771071038734	23.3455687587145	23.0530813655812
A0A087WUE9;Q92797;M0R3C7	24.2358605618576	23.9680609896772	24.0059111014444	23.8909161593451	23.97858556205	23.8040033651644	23.9845419245366	23.9475730191383	23.9280864642012	23.8031163067263	23.1700955981452	23.7354935744085	23.7954262053897	23.8533249121621	23.8703403186535	23.8573781470957	24.5147867594709	23.7605353862196
A0A087WUK2;O14979	27.720123784253	27.9083904216849	27.7901091221035	27.7581170566151	27.8836108645615	27.8764855648787	27.7325331626388	27.7535975908571	27.7402110372422	27.662004740363	27.693784485052	27.6484908929436	27.6143525252165	27.6749219602691	27.6802981358249	27.4297396395655	27.4218177799513	27.6894585596492
