Sample	Before_normalization	After_normalization
LFQ.intensity.1G_A_01	24.156	0
LFQ.intensity.1G_A_02	24.136	0
LFQ.intensity.1G_A_03	24.121	0
LFQ.intensity.1G_B_01	24.112	0
LFQ.intensity.1G_B_02	24.089	0
LFQ.intensity.1G_B_03	24.101	0
LFQ.intensity.1G_C_01	24.1	0
LFQ.intensity.1G_C_02	24.12	0
LFQ.intensity.1G_C_03	24.117	0
LFQ.intensity.DLN_A_01	24.066	0
LFQ.intensity.DLN_A_02	24.076	0
LFQ.intensity.DLN_A_03	24.081	0
LFQ.intensity.DLN_B_01	24.125	0
LFQ.intensity.DLN_B_02	24.1	0
LFQ.intensity.DLN_B_03	24.137	0
LFQ.intensity.DLN_C_01	24.141	0
LFQ.intensity.DLN_C_02	24.142	0
LFQ.intensity.DLN_C_03	24.118	0
